scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
255,18.75,3.907758620689655,0,1,4.6,1,0.02,0.02,0.02,4,2,0.05
256,34.375,3.8743589743589744,0,2,4.6,1,0.02,0.02,0.02,4,2,0.05
257,18.75,3.9080168776371305,0,1,4.7,1,0.02,0.02,0.02,4,2,0.05
258,34.375,3.8753138075313807,0,2,4.7,1,0.02,0.02,0.02,4,2,0.05
259,18.75,3.908264462809917,0,1,4.800000000000001,1,0.02,0.02,0.02,4,2,0.05
260,34.375,3.876229508196721,0,2,4.800000000000001,1,0.02,0.02,0.02,4,2,0.05
261,18.75,3.9085020242914976,0,1,4.9,1,0.02,0.02,0.02,4,2,0.05
262,34.375,3.8771084337349393,0,2,4.9,1,0.02,0.02,0.02,4,2,0.05
263,18.75,3.9087301587301586,0,1,5,1,0.02,0.02,0.02,4,2,0.05
264,34.375,3.877952755905512,0,2,5,1,0.02,0.02,0.02,4,2,0.05
265,18.75,3.9089494163424123,0,1,5.1000000000000005,1,0.02,0.02,0.02,4,2,0.05
266,34.375,3.8787644787644786,0,2,5.1000000000000005,1,0.02,0.02,0.02,4,2,0.05
267,18.75,3.9091603053435113,0,1,5.2,1,0.02,0.02,0.02,4,2,0.05
268,34.375,3.8795454545454544,0,2,5.2,1,0.02,0.02,0.02,4,2,0.05
269,18.75,3.9093632958801496,0,1,5.3,1,0.02,0.02,0.02,4,2,0.05
270,34.375,3.8802973977695165,0,2,5.3,1,0.02,0.02,0.02,4,2,0.05
271,18.75,3.9095588235294114,0,1,5.4,1,0.02,0.02,0.02,4,2,0.05
272,34.375,3.8810218978102187,0,2,5.4,1,0.02,0.02,0.02,4,2,0.05
273,18.75,3.909747292418772,0,1,5.5,1,0.02,0.02,0.02,4,2,0.05
274,34.375,3.8817204301075265,0,2,5.5,1,0.02,0.02,0.02,4,2,0.05
275,18.75,3.909929078014185,0,1,5.6000000000000005,1,0.02,0.02,0.02,4,2,0.05
276,34.375,3.882394366197184,0,2,5.6000000000000005,1,0.02,0.02,0.02,4,2,0.05
277,18.75,3.9101045296167243,0,1,5.7,1,0.02,0.02,0.02,4,2,0.05
278,34.375,3.8830449826989617,0,2,5.7,1,0.02,0.02,0.02,4,2,0.05
279,18.75,3.9102739726027393,0,1,5.800000000000001,1,0.02,0.02,0.02,4,2,0.05
280,34.375,3.883673469387755,0,2,5.800000000000001,1,0.02,0.02,0.02,4,2,0.05
281,18.75,3.910437710437711,0,1,5.9,1,0.02,0.02,0.02,4,2,0.05
282,34.375,3.88428093645485,0,2,5.9,1,0.02,0.02,0.02,4,2,0.05
283,18.75,3.9105960264900657,0,1,6,1,0.02,0.02,0.02,4,2,0.05
284,34.375,3.8848684210526314,0,2,6,1,0.02,0.02,0.02,4,2,0.05
285,18.75,3.910749185667752,0,1,6.1000000000000005,1,0.02,0.02,0.02,4,2,0.05
286,34.375,3.885436893203883,0,2,6.1000000000000005,1,0.02,0.02,0.02,4,2,0.05
287,18.75,3.910897435897436,0,1,6.2,1,0.02,0.02,0.02,4,2,0.05
288,34.375,3.885987261146497,0,2,6.2,1,0.02,0.02,0.02,4,2,0.05
289,18.75,3.9110410094637227,0,1,6.300000000000001,1,0.02,0.02,0.02,4,2,0.05
290,34.375,3.886520376175549,0,2,6.300000000000001,1,0.02,0.02,0.02,4,2,0.05
291,18.75,3.911180124223602,0,1,6.4,1,0.02,0.02,0.02,4,2,0.05
292,34.375,3.887037037037037,0,2,6.4,1,0.02,0.02,0.02,4,2,0.05
293,18.75,3.9113149847094797,0,1,6.5,1,0.02,0.02,0.02,4,2,0.05
294,34.375,3.887537993920972,0,2,6.5,1,0.02,0.02,0.02,4,2,0.05
295,18.75,3.9114457831325296,0,1,6.6000000000000005,1,0.02,0.02,0.02,4,2,0.05
296,34.375,3.888023952095808,0,2,6.6000000000000005,1,0.02,0.02,0.02,4,2,0.05
297,18.75,3.911572700296736,0,1,6.7,1,0.02,0.02,0.02,4,2,0.05
298,34.375,3.888495575221239,0,2,6.7,1,0.02,0.02,0.02,4,2,0.05
299,18.75,3.911695906432748,0,1,6.800000000000001,1,0.02,0.02,0.02,4,2,0.05
300,34.375,3.8889534883720924,0,2,6.800000000000001,1,0.02,0.02,0.02,4,2,0.05
