scenario_id,E,N_s,N_w,p_w,p_s,r_s,r_w,q_s,q_w,k_s,k_w,c
239,26.5625,3.9076807228915658,0,6.6000000000000005,1,1,0.02,0.02,0.02,4,2,0.0375
240,26.5625,3.90786350148368,0,6.7,1,1,0.02,0.02,0.02,4,2,0.0375
241,26.5625,3.9080409356725143,0,6.800000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
242,26.5625,3.90821325648415,0,6.9,1,1,0.02,0.02,0.02,4,2,0.0375
243,26.5625,3.9083806818181825,0,7,1,1,0.02,0.02,0.02,4,2,0.0375
244,26.5625,3.908543417366946,0,7.1000000000000005,1,1,0.02,0.02,0.02,4,2,0.0375
245,26.5625,3.908701657458564,0,7.2,1,1,0.02,0.02,0.02,4,2,0.0375
246,26.5625,3.9088555858310627,0,7.300000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
247,26.5625,3.909005376344086,0,7.4,1,1,0.02,0.02,0.02,4,2,0.0375
248,26.5625,3.9091511936339525,0,7.5,1,1,0.02,0.02,0.02,4,2,0.0375
249,26.5625,3.909293193717278,0,7.6000000000000005,1,1,0.02,0.02,0.02,4,2,0.0375
250,26.5625,3.9094315245478035,0,7.7,1,1,0.02,0.02,0.02,4,2,0.0375
251,26.5625,3.9095663265306126,0,7.800000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
252,26.5625,3.9096977329974805,0,7.9,1,1,0.02,0.02,0.02,4,2,0.0375
253,26.5625,3.909825870646766,0,8,1,1,0.02,0.02,0.02,4,2,0.0375
254,26.5625,3.9099508599508597,0,8.100000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
255,26.5625,3.9100728155339803,0,8.2,1,1,0.02,0.02,0.02,4,2,0.0375
256,26.5625,3.9101918465227814,0,8.3,1,1,0.02,0.02,0.02,4,2,0.0375
257,26.5625,3.9103080568720383,0,8.4,1,1,0.02,0.02,0.02,4,2,0.0375
258,26.5625,3.9104215456674476,0,8.5,1,1,0.02,0.02,0.02,4,2,0.0375
259,26.5625,3.9105324074074077,0,8.600000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
260,26.5625,3.910640732265446,0,8.7,1,1,0.02,0.02,0.02,4,2,0.0375
261,26.5625,3.9107466063348415,0,8.8,1,1,0.02,0.02,0.02,4,2,0.0375
262,26.5625,3.9108501118568233,0,8.9,1,1,0.02,0.02,0.02,4,2,0.0375
263,26.5625,3.910951327433628,0,9,1,1,0.02,0.02,0.02,4,2,0.0375
264,26.5625,3.9110503282275713,0,9.1,1,1,0.02,0.02,0.02,4,2,0.0375
265,26.5625,3.9111471861471863,0,9.200000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
266,26.5625,3.9112419700214134,0,9.3,1,1,0.02,0.02,0.02,4,2,0.0375
267,26.5625,3.9113347457627117,0,9.4,1,1,0.02,0.02,0.02,4,2,0.0375
268,26.5625,3.911425576519916,0,9.5,1,1,0.02,0.02,0.02,4,2,0.0375
269,26.5625,3.9115145228215766,0,9.6,1,1,0.02,0.02,0.02,4,2,0.0375
270,26.5625,3.9116016427104725,0,9.700000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
271,26.5625,3.9116869918699178,0,9.8,1,1,0.02,0.02,0.02,4,2,0.0375
272,26.5625,3.9117706237424548,0,9.9,1,1,0.02,0.02,0.02,4,2,0.0375
273,26.5625,3.9118525896414336,0,10,1,1,0.02,0.02,0.02,4,2,0.0375
274,38.28125,3.699074074074074,0,1,2,1,0.02,0.02,0.02,4,2,0.0375
275,38.28125,3.7177966101694913,0,1.1,2,1,0.02,0.02,0.02,4,2,0.0375
276,38.28125,3.7335937500000003,0,1.2,2,1,0.02,0.02,0.02,4,2,0.0375
277,38.28125,3.747101449275362,0,1.3,2,1,0.02,0.02,0.02,4,2,0.0375
278,38.28125,3.7587837837837834,0,1.4,2,1,0.02,0.02,0.02,4,2,0.0375
279,38.28125,3.7689873417721516,0,1.5,2,1,0.02,0.02,0.02,4,2,0.0375
280,38.28125,3.77797619047619,0,1.6,2,1,0.02,0.02,0.02,4,2,0.0375
281,38.28125,3.7859550561797746,0,1.7000000000000002,2,1,0.02,0.02,0.02,4,2,0.0375
282,38.28125,3.7930851063829785,0,1.8,2,1,0.02,0.02,0.02,4,2,0.0375
283,38.28125,3.7994949494949495,0,1.9,2,1,0.02,0.02,0.02,4,2,0.0375
284,38.28125,3.8052884615384612,0,2,2,1,0.02,0.02,0.02,4,2,0.0375
285,38.28125,3.8105504587155963,0,2.1,2,1,0.02,0.02,0.02,4,2,0.0375
286,38.28125,3.815350877192982,0,2.2,2,1,0.02,0.02,0.02,4,2,0.0375
287,38.28125,3.8197478991596636,0,2.3,2,1,0.02,0.02,0.02,4,2,0.0375
288,38.28125,3.8237903225806447,0,2.4000000000000004,2,1,0.02,0.02,0.02,4,2,0.0375
